Model,Crime Tier,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,y_tier1,0.1833,0.0051,0.01,0.6114
Logistic Regression,y_tier2,0.374,0.9993,0.5443,0.6136
Logistic Regression,y_tier3,0.5993,0.9952,0.7481,0.6416
Logistic Regression,y_tier4,0.5503,0.1128,0.1873,0.7239
Random Forest,y_tier1,0.0123,1.0,0.0244,0.6016
Random Forest,y_tier2,0.374,0.9994,0.5443,0.6156
Random Forest,y_tier3,0.6039,0.9818,0.7478,0.6433
Random Forest,y_tier4,0.1174,0.8138,0.2052,0.7332
XGBoost,y_tier1,0.0153,0.627,0.0299,0.5991
XGBoost,y_tier2,0.3734,1.0,0.5437,0.615
XGBoost,y_tier3,0.5968,1.0,0.7475,0.6429
XGBoost,y_tier4,0.1087,0.8532,0.1929,0.7302
Neural Network,y_tier1,0.1667,0.0107,0.0201,0.596
Neural Network,y_tier2,0.3824,0.9829,0.5506,0.6162
Neural Network,y_tier3,0.5992,0.9966,0.7484,0.643
Neural Network,y_tier4,0.5208,0.1365,0.2164,0.7318
